GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
Grand Falls-Windsor,181,"    $70,000 to $79,999",475,230,245
Grand Falls-Windsor,182,"    $80,000 to $89,999",285,185,100
Grand Falls-Windsor,183,"    $90,000 to $99,999",140,85,50
Grand Falls-Windsor,184,"    $100,000 and over",305,230,80
Grand Falls-Windsor,185,"      $100,000 to $124,999",160,120,40
Grand Falls-Windsor,186,"      $125,000 and over",145,110,35
Grand Falls-Windsor,191,"    $5,000 to $9,999",630,245,385
Grand Falls-Windsor,192,"    $10,000 to $19,999",885,415,470
Grand Falls-Windsor,193,"    $20,000 to $29,999",845,375,470
Grand Falls-Windsor,194,"    $30,000 to $39,999",675,330,345
Grand Falls-Windsor,195,"    $40,000 to $49,999",620,305,320
Grand Falls-Windsor,196,"    $50,000 to $59,999",440,250,195
Grand Falls-Windsor,197,"    $60,000 to $69,999",380,215,170
Grand Falls-Windsor,198,"    $70,000 to $79,999",295,165,130
Grand Falls-Windsor,199,"    $80,000 to $89,999",215,115,95
Grand Falls-Windsor,200,"    $90,000 to $99,999",300,135,160
Grand Falls-Windsor,201,"    $100,000 and over",625,435,190
Grand Falls-Windsor,202,"      $100,000 to $124,999",350,220,135
Grand Falls-Windsor,203,"      $125,000 and over",270,215,60
Grand Falls-Windsor,262,"  $5,000 to $9,999",75,,
Grand Falls-Windsor,263,"  $10,000 to $14,999",155,,
Grand Falls-Windsor,264,"  $15,000 to $19,999",135,,
Grand Falls-Windsor,265,"  $20,000 to $24,999",400,,
Grand Falls-Windsor,266,"  $25,000 to $29,999",295,,
Grand Falls-Windsor,267,"  $30,000 to $34,999",275,,
Grand Falls-Windsor,268,"  $35,000 to $39,999",335,,
Grand Falls-Windsor,269,"  $40,000 to $44,999",325,,
Grand Falls-Windsor,270,"  $45,000 to $49,999",265,,
Grand Falls-Windsor,271,"  $50,000 to $59,999",505,,
Grand Falls-Windsor,272,"  $60,000 to $69,999",470,,
Grand Falls-Windsor,273,"  $70,000 to $79,999",410,,
Grand Falls-Windsor,274,"  $80,000 to $89,999",365,,
Grand Falls-Windsor,275,"  $90,000 to $99,999",330,,
Grand Falls-Windsor,276,"  $100,000 and over",1760,,
Grand Falls-Windsor,277,"    $100,000 to $124,999",580,,
Grand Falls-Windsor,278,"    $125,000 to $149,999",445,,
Grand Falls-Windsor,279,"    $150,000 to $199,999",420,,
Grand Falls-Windsor,280,"    $200,000 and over",320,,
Grand Falls-Windsor,283,"  $5,000 to $9,999",75,,
Grand Falls-Windsor,284,"  $10,000 to $14,999",160,,
Grand Falls-Windsor,285,"  $15,000 to $19,999",145,,
Grand Falls-Windsor,286,"  $20,000 to $24,999",435,,
Grand Falls-Windsor,287,"  $25,000 to $29,999",335,,
Grand Falls-Windsor,288,"  $30,000 to $34,999",310,,
Grand Falls-Windsor,289,"  $35,000 to $39,999",395,,
Grand Falls-Windsor,290,"  $40,000 to $44,999",350,,
Grand Falls-Windsor,291,"  $45,000 to $49,999",295,,
Grand Falls-Windsor,292,"  $50,000 to $59,999",590,,
Grand Falls-Windsor,293,"  $60,000 to $69,999",550,,
Grand Falls-Windsor,294,"  $70,000 to $79,999",480,,
Grand Falls-Windsor,295,"  $80,000 to $89,999",395,,
Grand Falls-Windsor,296,"  $90,000 to $99,999",300,,
